ID;Countrycode;Countryname;potentially suitable land;potentially cultivable land;potentially available cropland
88;GIB;Gibraltar;1;0;0
96;GIN;Guinea;243901;243005;177959
92;GLP;Guadeloupe;1480;1449;772
84;GMB;Gambia;10413;10184;5246
97;GNB;Guinea-Bissau;31927;31385;8110
71;GNQ;Equatorial Guinea;26512;26420;9769
89;GRC;Greece;103223;100634;70801
91;GRD;Grenada;296;284;122
90;GRL;Greenland;862;612;607
94;GTM;Guatemala;104404;103714;68020
80;GUF;French Guiana;83149;82626;838
93;GUM;Guam;0;0;0
98;GUY;Guyana;209898;209350;31205
102;HKG;Hong Kong;796;672;669
100;HMD;Heard Island and McDonald Islands;0;0;0
101;HND;Honduras;109277;108566;60567
58;HRV;Croatia;50825;50035;32189
99;HTI;Haiti;25694;25398;21885
103;HUN;Hungary;91160;89462;69354
106;IDN;Indonesia;1801764;1785214;788339
110;IMN;Isle of Man;517;506;478
105;IND;India;2923967;2870880;2223515
34;IOT;British Indian Ocean Territory;0;0;0
109;IRL;Ireland;64383;63648;49924
107;IRN;Iran;1306111;1296530;1234168
108;IRQ;Iraq;434072;430822;424803
104;ISL;Iceland;58037;56485;48126
111;ISR;Israel;20352;19068;17595
112;ITA;Italy;237737;225331;165391
113;JAM;Jamaica;10618;10445;7106
115;JEY;Jersey;99;92;92
116;JOR;Jordan;84234;83684;82823
114;JPN;Japan;333065;315778;87010
117;KAZ;Kazakhstan;2273318;2260149;2223381
118;KEN;Kenya;518384;517503;438717
122;KGZ;Kyrgyzstan;81908;81356;77715
40;KHM;Cambodia;177914;176422;73641
119;KIR;Kiribati;0;0;0
193;KNA;Saint Kitts and Nevis;147;132;53
213;KOR;South Korea;87235;83157;27560
121;KWT;Kuwait;16593;16121;15760
123;LAO;Laos;226417;224497;39562
125;LBN;Lebanon;9503;9151;7915
127;LBR;Liberia;95799;95534;52660
128;LBY;Libya;1021226;1019870;1017648
194;LCA;Saint Lucia;571;559;358
129;LIE;Liechtenstein;59;54;42
217;LKA;Sri Lanka;63874;62672;35605
126;LSO;Lesotho;25662;25546;25166
130;LTU;Lithuania;63786;62973;40850
131;LUX;Luxembourg;2547;2458;1144
124;LVA;Latvia;62132;61601;26495
132;MAC;Macao;5;1;1
191;MAF;Saint-Martin;0;0;0
152;MAR;Morocco;356340;354217;309554
148;MCO;Monaco;0;0;0
147;MDA;Moldova;33524;33153;29115
134;MDG;Madagascar;582973;580074;449859
137;MDV;Maldives;0;0;0
145;MEX;Mexico;1804089;1781684;1160303
140;MHL;Marshall Islands;0;0;0
133;MKD;Macedonia;18117;17834;11646
138;MLI;Mali;1035710;1032457;980758
139;MLT;Malta;221;148;145
154;MMR;Myanmar;634870;627448;334474
150;MNE;Montenegro;9422;9289;3644
149;MNG;Mongolia;1102520;1101085;955042
168;MNP;Northern Mariana Islands;0;0;0
153;MOZ;Mozambique;764585;760768;334782
142;MRT;Mauritania;713303;712775;708468
151;MSR;Montserrat;87;84;52
141;MTQ;Martinique;971;961;524
143;MUS;Mauritius;1767;1676;1312
135;MWI;Malawi;91753;91239;51083
136;MYS;Malaysia;324680;321876;98197
144;MYT;Mayotte;311;303;230
155;NAM;Namibia;711777;710772;587808
159;NCL;New Caledonia;16923;16768;8595
162;NER;Niger;937979;937459;919682
165;NFK;Norfolk Island;0;0;0
163;NGA;Nigeria;896977;887542;807354
161;NIC;Nicaragua;117866;116891;79208
164;NIU;Niue;0;0;0
158;NLD;Netherlands;33663;31153;26498
169;NOR;Norway;190535;185663;79106
157;NPL;Nepal;86359;85926;58827
156;NRU;Nauru;0;0;0
160;NZL;New Zealand;195685;194317;119096
170;OMN;Oman;277563;276451;269571
171;PAK;Pakistan;707020;699674;680733
174;PAN;Panama;70892;70409;25827
180;PCN;Pitcairn Islands;0;0;0
178;PER;Peru;1071583;1062302;334278
179;PHL;Philippines;276058;271772;193160
172;PLW;Palau;0;0;0
175;PNG;Papua New Guinea;430859;427652;103036
181;POL;Poland;304606;299025;205572
183;PRI;Puerto Rico;8558;7995;3109
166;PRK;North Korea;99171;98179;61181
182;PRT;Portugal;86155;83113;52516
177;PRY;Paraguay;399291;395983;190312
173;PSE;Palestina;5817;5549;5436
81;PYF;French Polynesia;0;0;0
184;QAT;Qatar;11179;10930;10930
186;REU;Reunion;1594;1573;1013
187;ROU;Romania;218348;215256;158781
188;RUS;Russia;5707570;5633942;2412120
189;RWA;Rwanda;22745;22588;17698
200;SAU;Saudi Arabia;1703830;1697516;1662833
218;SDN;Sudan;1744411;1741887;1582592
201;SEN;Senegal;195671;192813;104231
205;SGP;Singapore;477;456;353
212;SGS;South Georgia and the South Sandwich Islands;0;0;0
192;SHN;Saint Helena;0;0;0
220;SJM;Svalbard and Jan Mayen;0;0;0
209;SLB;Solomon Islands;23245;23061;2984
204;SLE;Sierra Leone;71896;71608;39487
70;SLV;El Salvador;19720;19409;16812
198;SMR;San Marino;63;54;54
210;SOM;Somalia;625615;624867;557025
195;SPM;Saint Pierre and Miquelon;150;144;97
202;SRB;Serbia;72385;71017;50370
214;SSD;South Sudan;625750;624749;459715
199;STP;São Tomé and Príncipe;898;879;400
219;SUR;Suriname;141066;140483;462
207;SVK;Slovakia;44892;44066;27313
208;SVN;Slovenia;16341;16185;6397
222;SWE;Sweden;373351;362187;63978
221;SWZ;Swaziland;17032;16949;10855
206;SXM;Sint Maarten;0;0;0
203;SYC;Seychelles;0;0;0
224;SYR;Syria;184108;183012;178398
237;TCA;Turks and Caicos Islands;180;171;26
47;TCD;Chad;1058078;1055807;1000826
230;TGO;Togo;56958;56246;51639
228;THA;Thailand;505060;497088;320703
226;TJK;Tajikistan;51977;51361;47315
231;TKL;Tokelau;0;0;0
236;TKM;Turkmenistan;262320;259856;249599
229;TLS;Timor-Leste;14151;14007;7317
232;TON;Tonga;277;264;218
233;TTO;Trinidad and Tobago;4807;4450;2112
234;TUN;Tunisia;145751;144572;134731
235;TUR;Turkey;642708;633089;546979
238;TUV;Tuvalu;0;0;0
225;TWN;Taiwan;26315;23877;22380
227;TZA;Tanzania;877636;869763;323640
239;UGA;Uganda;203502;201156;168312
240;UKR;Ukraine;578660;572152;475118
244;UMI;United States Minor Outlying Islands;0;0;0
245;URY;Uruguay;172574;171012;152393
243;USA;United States;7506596;7368870;4638238
246;UZB;Uzbekistan;286342;281946;270338
248;VAT;Vatican City;1;0;0
196;VCT;Saint Vincent and the Grenadines;311;311;65
249;VEN;Venezuela;747001;735241;355249
35;VGB;British Virgin Islands;51;47;26
251;VIR;Virgin Islands, U.S.;236;204;89
250;VNM;Vietnam;316629;309672;165589
247;VUT;Vanuatu;10196;10117;5983
252;WLF;Wallis and Futuna;0;0;0
197;WSM;Samoa;2548;2540;2475
2;XAD;Akrotiri and Dhekelia;10;10;10
44;XCA;Caspian Sea;514;455;397
51;XCL;Clipperton Island;0;0;0
120;XKO;Kosovo;9026;8912;6615
167;XNC;Northern Cyprus;2978;2878;2678
176;XPI;Paracel Islands;0;0;0
216;XSP;Spratly Islands;0;0;0
254;YEM;Yemen;383472;382781;381242
211;ZAF;South Africa;1156552;1149846;1058531
255;ZMB;Zambia;738640;735977;197528
256;ZWE;Zimbabwe;385347;384136;238213
